,BEA1,BEA2,BEA3,BEA4,BEA5,BEA6,BEA7,BEA8,latitude_3414,longitude_3414,type,timestamp
93,-77,-85,-70,-83,-89,-70,-82,-67,36482.15551,11119.05928,pseudo,1.62917E+12
94,-69,-76,-69,-81,-87,-73,-82,-60,36482.19876,11120.50605,pseudo,1.62917E+12
95,-74,-70,-82,-92,-85,-77,-98,-61,36482.24213,11121.94168,pseudo,1.62917E+12
96,-71,-66,-67,-85,-97,-82,-94,-60,36482.25371,11122.33119,truth,1.62917E+12
97,-97,-67,-82,-95,-93,-90,-88,-80,36481.91482,11123.73342,pseudo,1.62917E+12
98,-65,-57,-80,-84,-97,-80,-96,-76,36481.57582,11125.13564,pseudo,1.62917E+12
99,-70,-62,-74,-96,-98,-80,-92,-86,36481.23693,11126.53787,pseudo,1.62917E+12
100,-72,-78,-78,-87,-92,-90,-93,-88,36480.89793,11127.94009,pseudo,1.62917E+12
101,-63,-71,-76,-86,-89,-82,-91,-76,36480.55904,11129.34232,pseudo,1.62917E+12
102,-72,-77,-81,-91,-93,-93,-98,-91,36480.22004,11130.74454,pseudo,1.62917E+12
103,-62,-70,-85,-98,-96,-85,-85,-85,36479.88115,11132.14677,truth,1.62917E+12
104,-62,-70,-85,-98,-96,-85,-85,-85,36479.88115,11132.14677,pseudo,1.62917E+12
105,-62,-70,-85,-98,-96,-85,-85,-85,36479.88115,11132.14677,pseudo,1.62917E+12
106,-62,-70,-85,-98,-96,-85,-85,-85,36479.88115,11132.14677,pseudo,1.62917E+12
107,-96,-92,-96,-77,-92,-98,-103,-93,36479.88115,11132.14677,truth,1.62917E+12
108,-66,-77,-88,-91,-93,-89,-96,-85,36480.22004,11130.74454,pseudo,1.62917E+12
109,-74,-74,-83,-87,-96,-93,-92,-76,36480.55904,11129.34232,pseudo,1.62917E+12
110,-74,-82,-94,-89,-95,-85,-96,-77,36480.89793,11127.94009,pseudo,1.62917E+12
111,-80,-80,-83,-95,-98,-100,-96,-88,36481.23693,11126.53787,pseudo,1.62917E+12
112,-85,-78,-94,-93,-96,-92,,-94,36481.57582,11125.13564,pseudo,1.62917E+12
113,-82,-84,-81,-91,-100,-94,-100,-85,36481.91482,11123.73342,pseudo,1.62917E+12
114,-84,-89,-86,-91,-100,-92,,-90,36482.25371,11122.33119,truth,1.62917E+12
115,-83,-80,-75,-96,-96,-90,-85,-69,36482.21046,11120.89556,pseudo,1.62917E+12
116,-80,-95,-72,-87,-94,-78,-98,-70,36482.16709,11119.44879,pseudo,1.62917E+12
117,-86,-94,-83,-89,-92,-88,-91,-78,36482.12384,11118.01316,pseudo,1.62917E+12
118,-82,-95,-82,-87,-96,-87,-88,-91,36482.08047,11116.56639,pseudo,1.62917E+12
119,-96,-96,-82,-87,-93,-94,-91,-85,36482.06877,11116.17688,truth,1.62917E+12
120,-84,-87,-81,-86,-89,-92,-91,-77,36482.06886,11114.73012,pseudo,1.62917E+12
121,-91,-97,-95,-88,-90,-96,-85,-85,36482.06895,11113.29449,pseudo,1.62917E+12
122,-92,-96,-82,-79,-84,-96,-84,-85,36482.06904,11111.84772,pseudo,1.62917E+12
123,-90,-98,-82,-80,-86,-93,-91,-80,36482.06913,11110.41209,pseudo,1.62917E+12
124,-98,-96,-97,-64,-96,-93,-98,-90,36482.06916,11109.91129,truth,1.62917E+12
125,-98,-96,-96,-73,-80,-87,-98,-90,36482.06925,11108.46453,pseudo,1.62917E+12
126,-94,,-96,-80,-89,-92,-100,-92,36482.06934,11107.0289,pseudo,1.62917E+12
127,-97,-94,-96,-84,-81,-98,-91,-94,36482.06942,11105.77133,truth,1.62917E+12
128,-96,,-96,-96,-92,-97,-101,-90,36482.06951,11104.32456,pseudo,1.62917E+12
129,-97,-100,-94,-85,-78,-92,-94,-96,36482.06961,11102.74425,truth,1.62917E+12
130,-93,-99,-102,-86,-87,-96,-101,-98,36480.63655,11102.74417,pseudo,1.62917E+12
131,-98,,-95,-84,-74,-92,-98,-92,36479.20339,11102.74408,pseudo,1.62917E+12
132,-100,-98,-91,-88,-70,-91,-98,-84,36477.77033,11102.74399,truth,1.62917E+12
133,-97,-98,-90,-93,-66,-96,-90,-98,36476.33717,11102.7439,pseudo,1.62917E+12
134,-100,-100,-88,-83,-71,-94,-91,-93,36474.904,11102.74381,pseudo,1.62917E+12
135,-93,-100,-90,-81,-80,-87,-91,-88,36473.47094,11102.74372,pseudo,1.62917E+12
136,,-100,-90,-79,-87,-97,-99,-89,36472.02561,11102.74363,truth,1.62917E+12
137,,-95,-86,-79,-87,-91,-91,-90,36472.02552,11104.19039,pseudo,1.62917E+12
138,-100,-100,-91,-71,-69,-89,-95,-97,36472.02543,11105.62602,pseudo,1.62917E+12
139,-92,-94,-96,-78,-80,-93,-98,-96,36472.02534,11107.07279,pseudo,1.62917E+12
140,-103,-92,-97,-75,-74,-86,-88,-85,36472.02525,11108.51955,pseudo,1.62917E+12
141,-96,-97,-84,-80,-74,-94,-94,-87,36472.02517,11109.95518,pseudo,1.62917E+12
142,-93,-89,-86,-74,-76,-79,-81,-83,36472.0251,11111.02356,truth,1.62917E+12
143,-94,-93,-87,-92,-82,-76,-89,-81,36472.02501,11112.47032,pseudo,1.62917E+12
144,-97,-92,-82,-86,-98,-75,-88,-83,36472.02492,11113.91708,pseudo,1.62917E+12
145,-100,-96,-81,-75,-86,-88,-79,-83,36472.02483,11115.35271,pseudo,1.62917E+12
146,,-92,-77,-79,-88,-78,-78,-77,36472.02474,11116.79948,pseudo,1.62917E+12
