BEA1,BEA2,BEA3,BEA4,BEA5,BEA6,BEA7,BEA8,latitude,longitude,type,timestamp,
-97,-98,-90,-93,-66,-96,-90,-98,1.346148801,103.6814865,pseudo,1.62917E+12,
-100,-100,-88,-83,-71,-94,-91,-93,1.34613584,103.6814865,pseudo,1.62917E+12,
-93,-100,-90,-81,-80,-87,-91,-88,1.34612288,103.6814865,pseudo,1.62917E+12,
,-100,-90,-79,-87,-97,-99,-89,1.346109809,103.6814865,truth,1.62917E+12,
,-95,-86,-79,-87,-91,-91,-90,1.346109809,103.6814995,pseudo,1.62917E+12,
-100,-100,-91,-71,-69,-89,-95,-97,1.346109809,103.6815124,pseudo,1.62917E+12,
-92,-94,-96,-78,-80,-93,-98,-96,1.346109809,103.6815254,pseudo,1.62917E+12,
-103,-92,-97,-75,-74,-86,-88,-85,1.346109809,103.6815384,pseudo,1.62917E+12,
-96,-97,-84,-80,-74,-94,-94,-87,1.346109809,103.6815513,pseudo,1.62917E+12,
-93,-89,-86,-74,-76,-79,-81,-83,1.346109809,103.6815609,truth,1.62917E+12,
-94,-93,-87,-92,-82,-76,-89,-81,1.346109809,103.6815739,pseudo,1.62917E+12,
-97,-92,-82,-86,-98,-75,-88,-83,1.346109809,103.6815869,pseudo,1.62917E+12,
-100,-96,-81,-75,-86,-88,-79,-83,1.346109809,103.6815998,pseudo,1.62917E+12,
,-92,-77,-79,-88,-78,-78,-77,1.346109809,103.6816128,pseudo,1.62917E+12,
,,-80,-88,-86,-94,-80,-91,1.346109809,103.6816258,pseudo,1.62917E+12,
-98,-94,-83,-88,-87,-80,-74,-93,1.346109809,103.6816387,pseudo,1.62917E+12,
-97,-92,-78,-82,-89,-78,-68,-90,1.346109809,103.6816421,truth,1.62917E+12,
-96,-87,-84,-93,-87,-83,-68,-85,1.34612277,103.6816421,pseudo,1.62917E+12,
-96,-87,-90,-93,-85,-83,-83,-86,1.34613573,103.6816421,pseudo,1.62917E+12,
-86,-84,-89,-81,-86,-75,-87,-87,1.346148691,103.6816421,pseudo,1.62917E+12,
-88,-88,-80,-92,-82,-91,-84,-78,1.346153383,103.6816421,truth,1.62917E+12,
-93,-85,-94,-80,-81,-80,-84,-74,1.346166343,103.6816421,pseudo,1.62917E+12,
-96,-91,-69,-79,-100,-80,-90,-75,1.346179304,103.6816421,pseudo,1.62917E+12,
-74,-85,-70,-92,-96,-84,-94,-62,1.34618489,103.6816421,truth,1.62917E+12,
-89,-80,-69,-81,-98,-67,-83,-60,1.34618489,103.681655,pseudo,1.62917E+12,
-72,-69,-86,-87,,-89,-93,-72,1.34618489,103.6816639,truth,1.62917E+12,
-84,-74,-76,-94,-88,-98,-95,-68,1.34618489,103.6816639,truth,1.62917E+12,
-84,-83,-70,-91,-95,-88,-84,-67,1.346184946,103.6816509,pseudo,1.62917E+12,
-84,-77,-63,-88,-84,-75,-84,-77,1.346184984,103.6816422,truth,1.62917E+12,
-92,-86,-76,-76,-88,-83,-85,-80,1.346172023,103.6816422,pseudo,1.62917E+12,
-97,-96,-76,-73,-80,-81,-76,-71,1.346159062,103.6816422,pseudo,1.62917E+12,
-85,-100,-84,-70,-90,-80,-89,-80,1.346153161,103.6816422,truth,1.62917E+12,
-87,-91,-89,-78,-82,-81,-78,-85,1.3461402,103.6816422,pseudo,1.62917E+12,
-98,-92,-77,-79,-78,-74,-81,-94,1.34612724,103.6816421,pseudo,1.62917E+12,
-96,-94,-76,-81,-82,-90,-72,-94,1.346114279,103.6816421,pseudo,1.62917E+12,
-97,-93,-93,-83,-78,-78,-65,-85,1.346109809,103.6816421,truth,1.62917E+12,
-93,-91,-73,-83,-82,-77,-90,-76,1.346109809,103.6816291,pseudo,1.62917E+12,
-96,-92,-73,-85,-83,-90,-71,-93,1.346109809,103.6816161,pseudo,1.62917E+12,
-95,-82,-72,-72,-77,-70,-88,-76,1.346109809,103.6816032,pseudo,1.62917E+12,
-87,-88,-82,-83,-82,-77,-82,-78,1.346109809,103.6815902,pseudo,1.62917E+12,
-90,-86,-76,-72,-87,-80,-91,-86,1.346109809,103.6815773,pseudo,1.62917E+12,
-90,-87,-75,-73,-82,-78,-86,-81,1.346109809,103.6815643,pseudo,1.62917E+12,
-100,-82,-80,-89,-76,-87,-84,-80,1.346109809,103.6815609,truth,1.62917E+12,
-88,-81,-77,-72,-66,-93,-85,-81,1.346109809,103.681548,pseudo,1.62917E+12,
-95,-89,-89,-69,-71,-91,-83,-91,1.346109809,103.681535,pseudo,1.62917E+12,
-97,-96,-94,-72,-64,-100,-92,-83,1.346109809,103.681522,pseudo,1.62917E+12,
-97,-98,-91,-74,-68,-98,-86,-92,1.346109809,103.6815091,pseudo,1.62917E+12,
-96,-93,-89,-75,-68,-91,-97,-81,1.346109809,103.6814961,pseudo,1.62917E+12,
-92,-98,-80,-73,-72,-91,-82,-89,1.346109809,103.6814865,truth,1.62917E+12,
-96,-91,-86,-81,-77,-85,-82,-88,1.34612277,103.6814865,pseudo,1.62917E+12,
-98,-90,-86,-76,-67,-82,-83,-79,1.34613573,103.6814865,pseudo,1.62917E+12,
-97,-95,-90,-83,-65,-93,-86,-93,1.346148691,103.6814865,pseudo,1.62917E+12,
-84,-96,-88,-80,-67,-85,-88,-83,1.346161762,103.6814865,truth,1.62917E+12,
-86,-96,-92,-77,-75,-90,-86,-90,1.346174723,103.6814865,pseudo,1.62917E+12,
-74,-91,-80,-73,-70,-84,-88,-77,1.346187684,103.6814865,pseudo,1.62917E+12,
-82,-95,-88,-84,-76,-88,-90,-77,1.346200643,103.6814865,truth,1.62917E+12,
-91,-95,-87,-80,-72,-96,-82,-91,1.346200643,103.6814995,pseudo,1.62917E+12,
-84,-96,-94,-75,-68,-86,-82,-79,1.346200643,103.6815137,truth,1.62917E+12,
-79,-93,-82,-64,-79,-87,-82,-82,1.346200643,103.6815266,pseudo,1.62917E+12,
-98,-91,-83,-66,-76,-86,-92,-80,1.346200643,103.6815396,pseudo,1.62917E+12,
-92,-91,-92,-76,-75,-82,-88,-78,1.346200643,103.6815509,truth,1.62917E+12,
-84,-91,-82,-77,-78,-82,-84,-81,1.346200643,103.6815638,pseudo,1.62917E+12,
-82,-87,-82,-77,-84,-77,-84,-69,1.346200643,103.6815768,pseudo,1.62917E+12,
-81,-93,-83,-77,-91,-78,-80,-81,1.346200643,103.6815898,pseudo,1.62917E+12,
-72,-80,-80,-90,-91,-77,-85,-72,1.346200643,103.6816027,pseudo,1.62917E+12,
-75,-82,-80,-92,-92,-76,-86,-68,1.346200643,103.6816072,truth,1.62917E+12,
-85,-84,-70,-78,-78,-76,-83,-73,1.346201036,103.6816202,pseudo,1.62917E+12,
-80,-80,-73,-86,-82,-71,-74,-72,1.346201429,103.6816331,pseudo,1.62917E+12,
-78,-84,-64,-86,-86,-77,-80,-62,1.346201821,103.6816461,pseudo,1.62917E+12,
-82,-71,-74,-87,-91,-74,-93,-68,1.346202214,103.681659,pseudo,1.62917E+12,
-72,-70,-73,-80,-92,-82,-89,-68,1.346202319,103.6816625,truth,1.62917E+12,
-82,-66,-83,-93,-100,-92,-90,-85,1.346199255,103.6816751,pseudo,1.62917E+12,
-71,-60,-76,-87,-93,-87,-94,-77,1.34619619,103.6816877,pseudo,1.62917E+12,
-72,-74,-86,-94,-94,-94,-95,-84,1.346193126,103.6817003,pseudo,1.62917E+12,
-68,-68,-68,-91,-91,-83,-89,-78,1.346190061,103.6817129,pseudo,1.62917E+12,
-68,-68,-73,-83,-97,-88,-95,-78,1.346186997,103.6817255,pseudo,1.62917E+12,
-62,-69,-75,-94,-93,-91,-91,-86,1.346183932,103.6817381,pseudo,1.62917E+12,
-63,-78,-79,-85,-94,-92,-97,-80,1.346180868,103.6817507,truth,1.62917E+12,
-63,-78,-79,-85,-94,-92,-97,-80,1.346180868,103.6817507,pseudo,1.62917E+12,
-62,-75,-83,-88,-96,-85,-93,-80,1.346180868,103.6817507,truth,1.62917E+12,
-86,-72,-79,-86,-91,-92,-99,-85,1.346183932,103.6817381,pseudo,1.62917E+12,
-78,-79,-80,-93,-98,-92,-95,-91,1.346186997,103.6817255,pseudo,1.62917E+12,
-78,-82,-95,-96,-94,-87,-98,-89,1.346190061,103.6817129,pseudo,1.62917E+12,
-72,-74,-86,-85,-95,-85,-100,-75,1.346193126,103.6817003,pseudo,1.62917E+12,
-80,-73,-83,-88,-92,-92,-96,-88,1.34619619,103.6816877,pseudo,1.62917E+12,
-73,-72,-91,-87,-91,-94,-93,-84,1.346199255,103.6816751,pseudo,1.62917E+12,
-76,-84,-73,-83,-86,-88,-90,-65,1.346202319,103.6816625,truth,1.62917E+12,
-73,-73,-56,-81,-86,-79,-78,-60,1.346201927,103.6816496,pseudo,1.62917E+12,
-76,-77,-69,-81,-87,-72,-83,-69,1.346201534,103.6816366,pseudo,1.62917E+12,
-82,-81,-70,-84,-92,-81,-81,-68,1.346201142,103.6816237,pseudo,1.62917E+12,
-76,-85,-67,-74,-85,-74,-94,-73,1.346200749,103.6816107,pseudo,1.62917E+12,
-78,-79,-79,-72,-77,-81,-82,-70,1.346200643,103.6816072,truth,1.62917E+12,
-83,-87,-89,-74,-78,-77,-79,-75,1.346200643,103.6815942,pseudo,1.62917E+12,
-84,-84,-80,-74,-81,-83,-82,-70,1.346200643,103.6815813,pseudo,1.62917E+12,
-78,-88,-73,-82,-76,-85,-82,-74,1.346200643,103.6815683,pseudo,1.62917E+12,
-92,-103,-77,-67,-76,-85,-93,-81,1.346200643,103.6815554,pseudo,1.62917E+12,
-92,-93,-95,-63,-79,-88,-87,-82,1.346200643,103.6815509,truth,1.62917E+12,
-88,-96,-95,-67,-80,-85,-99,-77,1.346200643,103.6815379,pseudo,1.62917E+12,
-90,-92,-87,-74,-78,-88,-89,-76,1.346200643,103.681525,pseudo,1.62917E+12,
-83,-94,-92,-73,-74,-89,-95,-76,1.346200643,103.6815137,truth,1.62917E+12,
-92,-96,-85,-69,-74,-94,-88,-84,1.346200643,103.6815007,pseudo,1.62917E+12,
-96,-96,-96,-84,-91,-96,-86,-76,1.346200643,103.6814865,truth,1.62917E+12,
-84,-94,-88,-78,-78,-88,-94,-90,1.346187683,103.6814865,pseudo,1.62917E+12,
-97,-96,-90,-78,-60,-89,-92,-88,1.346174722,103.6814865,pseudo,1.62917E+12,
-96,-96,-94,-85,-58,-94,-83,-86,1.346161762,103.6814865,truth,1.62917E+12,
